  1              Girdhar Gopal Tr Communist Party of India                        6  10403  1.17
  2              Yogesh Shukla    Indian National Congress                      101  31953  3.59
  3              Rajendra Singh P Samajwadi Party                               851 310179 34.89
  4              Rita Bahuguna Jo Bharatiya Janata Party                       1250 494454 55.62
  5              Ajeet Kumar Pate Pragatisheel Samaj Party                        6   6267   0.7
  6              Abhimanyu Singh  Pragatishil Samajwadi Party (Lohi               3   2217  0.25
  7              Om Guru Charanda Sanatan Sanskriti Raksha Dal                    0   2278  0.26
  8              Gayatri Prasad   Bhartiya Shakti Chetna Party                    1   1517  0.17
  9              Bhawani Singh    Aam Aadmi Party                                 5   1845  0.21
 10              Ram Pal Gupta    Parivartan Samaj Party                          1   3368  0.38
 11              Shiv Dutt Shukla Annadata Party                                  1   5147  0.58
 12              Shiv Prasad      Lok Gathbandhan Party                           1   4118  0.46
 13              Ajay Sharma      Independent                                     0   4731  0.53
 14              Rabindra Kumar SvIndependent                                     0   2954  0.33
 15              NOTA             None of the Above                              15   7625  0.86
                 Total                                                         2241 889056
